# Time          1.0000E-01
# Units: Log10 mol/kgw
    Distance      pH             H+             HPO4--         Al+++          SiO2(aq)       UO2++          Bogusite(aq)   (UO2)2(OH)2++  (UO2)2OH+++    (UO2)3(OH)4++  (UO2)3(OH)5+   (UO2)3(OH)7-   (UO2)4(OH)7+   Al(OH)2+       AlHPO4+        AlO2-          AlOH++         H2PO4-         H3PO4(aq)      HAlO2(aq)      OH-            PO4---         UO2(H2PO4)(H3  UO2(H2PO4)2(a  UO2(OH)2(aq)   UO2(OH)3-      UO2(OH)4--     UO2H2PO4+      UO2H3PO4++     UO2HPO4(aq)    UO2OH+         UO2PO4-      
   2.050000E+01   5.096868E+00  -5.095917E+00  -7.959384E+00  -8.023381E+00  -3.727486E+00  -1.600779E+01  -2.000000E+00  -2.746057E+01  -2.962497E+01  -3.957253E+01  -3.813846E+01  -4.340658E+01  -5.031819E+01  -8.431244E+00  -8.594178E+00  -1.052222E+01  -7.887676E+00  -5.857858E+00  -8.791382E+00  -9.172104E+00  -8.893282E+00  -1.517625E+01  -2.447395E+01  -2.038803E+01  -1.613247E+01  -1.994185E+01  -2.864942E+01  -1.739881E+01  -2.285282E+01  -1.553500E+01  -1.612259E+01  -1.679718E+01
   2.150000E+01   5.391406E+00  -5.390696E+00  -7.727211E+00  -8.999678E+00  -3.727798E+00  -1.632929E+01  -2.000000E+00  -2.751352E+01  -2.997366E+01  -3.935694E+01  -3.762760E+01  -4.230665E+01  -4.953879E+01  -8.816542E+00  -9.335412E+00  -1.031844E+01  -8.568237E+00  -5.919498E+00  -9.147318E+00  -9.262622E+00  -8.598986E+00  -1.465074E+01  -2.521206E+01  -2.083136E+01  -1.586392E+01  -1.937901E+01  -2.779277E+01  -1.778099E+01  -2.353026E+01  -1.562239E+01  -1.614882E+01  -1.659028E+01
   2.250000E+01   5.744207E+00  -5.743661E+00  -7.420750E+00  -1.009291E+01  -3.727956E+00  -1.675048E+01  -2.000000E+00  -2.764965E+01  -3.046341E+01  -3.920799E+01  -3.712536E+01  -4.109881E+01  -4.875148E+01  -9.202861E+00  -1.012021E+01  -9.999154E+00  -9.307850E+00  -5.965343E+00  -9.545800E+00  -9.295974E+00  -8.246349E+00  -1.399231E+01  -2.607692E+01  -2.134326E+01  -1.557886E+01  -1.874130E+01  -2.680275E+01  -1.824737E+01  -2.434993E+01  -1.573581E+01  -1.621672E+01  -1.635105E+01
   2.350000E+01   6.220358E+00  -6.219855E+00  -6.995594E+00  -1.152533E+01  -3.728041E+00  -1.741267E+01  -2.000000E+00  -2.802154E+01  -3.131168E+01  -3.928960E+01  -3.673068E+01  -3.975183E+01  -4.806651E+01  -9.682631E+00  -1.112695E+01  -9.526624E+00  -1.026390E+01  -6.016207E+00  -1.007277E+01  -9.299551E+00  -7.770243E+00  -1.309122E+01  -2.731676E+01  -2.210691E+01  -1.528856E+01  -1.797490E+01  -2.556034E+01  -1.896024E+01  -2.553909E+01  -1.597249E+01  -1.640262E+01  -1.611163E+01
   2.450000E+01   6.808517E+00  -6.807947E+00  -6.524813E+00  -1.328805E+01  -3.728084E+00  -1.840164E+01  -2.000000E+00  -2.882344E+01  -3.270139E+01  -3.990442E+01  -3.675755E+01  -3.860238E+01  -4.790630E+01  -1.026958E+01  -1.241971E+01  -8.937252E+00  -1.143880E+01  -6.133788E+00  -1.077858E+01  -9.298406E+00  -7.182016E+00  -1.203194E+01  -2.912939E+01  -2.333145E+01  -1.510149E+01  -1.719960E+01  -2.419667E+01  -2.006706E+01  -2.723387E+01  -1.649122E+01  -1.680364E+01  -1.604213E+01
   2.550000E+01   7.171498E+00  -7.170882E+00  -6.307834E+00  -1.437944E+01  -3.728105E+00  -1.908162E+01  -2.000000E+00  -2.945762E+01  -3.369832E+01  -4.049280E+01  -3.698310E+01  -3.810196E+01  -4.808605E+01  -1.063538E+01  -1.329468E+01  -8.577089E+00  -1.216745E+01  -6.279931E+00  -1.128775E+01  -9.301272E+00  -6.818987E+00  -1.145174E+01  -3.046488E+01  -2.430400E+01  -1.505569E+01  -1.679078E+01  -2.342473E+01  -2.089337E+01  -2.842302E+01  -1.695459E+01  -1.712078E+01  -1.614248E+01
   2.650000E+01   7.343473E+00  -7.342835E+00  -6.231205E+00  -1.489701E+01  -3.728114E+00  -1.941526E+01  -2.000000E+00  -2.978104E+01  -3.419360E+01  -4.080600E+01  -3.712438E+01  -3.789930E+01  -4.821711E+01  -1.080918E+01  -1.373589E+01  -8.406937E+00  -1.251315E+01  -6.375345E+00  -1.155516E+01  -9.303117E+00  -6.646990E+00  -1.120303E+01  -3.116143E+01  -2.482859E+01  -1.504547E+01  -1.660856E+01  -2.307046E+01  -2.132252E+01  -2.902407E+01  -1.721178E+01  -1.728251E+01  -1.622767E+01
   2.750000E+01   7.425220E+00  -7.424571E+00  -6.200771E+00  -1.514282E+01  -3.728118E+00  -1.957585E+01  -2.000000E+00  -2.993877E+01  -3.443303E+01  -4.096087E+01  -3.719754E+01  -3.780896E+01  -4.828742E+01  -1.089157E+01  -1.395138E+01  -8.325836E+00  -1.267726E+01  -6.426689E+00  -1.168826E+01  -9.303773E+00  -6.565232E+00  -1.109079E+01  -3.150651E+01  -2.509194E+01  -1.504261E+01  -1.652394E+01  -2.290407E+01  -2.153449E+01  -2.931776E+01  -1.734203E+01  -1.736139E+01  -1.627615E+01
   2.850000E+01   7.464469E+00  -7.463815E+00  -6.187488E+00  -1.526070E+01  -3.728121E+00  -1.965338E+01  -2.000000E+00  -3.001535E+01  -3.454883E+01  -4.103649E+01  -3.723393E+01  -3.776685E+01  -4.832285E+01  -1.093100E+01  -1.405605E+01  -8.286768E+00  -1.275592E+01  -6.452671E+00  -1.175350E+01  -9.303959E+00  -6.525978E+00  -1.103824E+01  -3.167527E+01  -2.522146E+01  -1.504166E+01  -1.648373E+01  -2.282460E+01  -2.163802E+01  -2.946052E+01  -1.740631E+01  -1.739968E+01  -1.630118E+01
   2.950000E+01   7.483344E+00  -7.482687E+00  -6.181401E+00  -1.531735E+01  -3.728122E+00  -1.969075E+01  -2.000000E+00  -3.005236E+01  -3.460470E+01  -4.107314E+01  -3.725171E+01  -3.774688E+01  -4.834027E+01  -1.094992E+01  -1.410664E+01  -8.267938E+00  -1.279371E+01  -6.465465E+00  -1.178517E+01  -9.304006E+00  -6.507101E+00  -1.101326E+01  -3.175712E+01  -2.528444E+01  -1.504130E+01  -1.646449E+01  -2.278647E+01  -2.168820E+01  -2.952957E+01  -1.743762E+01  -1.741819E+01  -1.631361E+01
