Observation Name, Region, Functional, Variable, Time, Value
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 4.6835000000000000e+04, 1.3271562490403259e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 5.9408000000000000e+04, 1.3271562446598406e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 7.5124000000000000e+04, 1.3271562251520753e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 9.4769000000000000e+04, 1.3271561722614621e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 1.1932500000000000e+05, 1.3271559448399080e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 1.5002100000000000e+05, 1.3271552828643741e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 1.8839000000000000e+05, 1.3271536270728726e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 2.3635200000000000e+05, 1.3271504152681890e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 2.9630400000000000e+05, 1.3271432921651520e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 3.7124400000000000e+05, 1.3271307074768948e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 4.6491900000000000e+05, 1.3271104386260740e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 5.8201300000000000e+05, 1.3270802795192737e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 7.2838000000000000e+05, 1.3270387969261128e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 9.1133900000000000e+05, 1.3269833643239019e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 1.1400380000000000e+06, 1.3269143072939825e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 1.4259120000000000e+06, 1.3268315924752320e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 1.7832540000000000e+06, 1.3267337847096750e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 2.2299310000000000e+06, 1.3266258969140572e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 2.7882780000000000e+06, 1.3265070309247707e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 3.4862120000000000e+06, 1.3263784121080963e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 4.3586290000000000e+06, 1.3262413071760535e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 5.4491500000000000e+06, 1.3260920007813175e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 6.8123020000000000e+06, 1.3259428233856449e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 8.5162410000000000e+06, 1.3257882481213622e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 8.6400000000000000e+06, 1.3257771842526388e+06
