# Time          1.0000E+00
# Units: Mol/m^3 porous medium
    Distance     >SiOH          >FeOH          >AlOH          >SiOUO3H3++    >SiOUO3H2+     >SiOUO3H       >SiOUO3-       >SiOUO2(OH)2-  >FeOHUO3       >FeOHUO2++     >AlOUO2+      
   5.950000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.409500E-22   1.205218E-19   1.030542E-16   5.957525E-21   5.957525E-21   1.390163E-14   9.100501E-11   2.460739E-11
   6.050000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.408590E-22   1.208046E-19   1.036055E-16   6.007334E-21   6.007334E-21   1.397600E-14   9.094623E-11   2.466515E-11
   6.150000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.407532E-22   1.211334E-19   1.042485E-16   6.065620E-21   6.065620E-21   1.406273E-14   9.087796E-11   2.473228E-11
   6.250000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.406314E-22   1.215137E-19   1.049949E-16   6.133541E-21   6.133541E-21   1.416343E-14   9.079931E-11   2.480993E-11
   6.350000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.404913E-22   1.219507E-19   1.058570E-16   6.212330E-21   6.212330E-21   1.427971E-14   9.070881E-11   2.489915E-11
   6.450000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.403307E-22   1.224501E-19   1.068478E-16   6.303354E-21   6.303354E-21   1.441337E-14   9.060514E-11   2.500110E-11
   6.550000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.401474E-22   1.230174E-19   1.079812E-16   6.408105E-21   6.408105E-21   1.456626E-14   9.048677E-11   2.511693E-11
   6.650000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.399400E-22   1.236595E-19   1.092730E-16   6.528276E-21   6.528276E-21   1.474053E-14   9.035286E-11   2.524803E-11
   6.750000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.397064E-22   1.243825E-19   1.107395E-16   6.665701E-21   6.665701E-21   1.493835E-14   9.020204E-11   2.539566E-11
   6.850000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.394443E-22   1.251929E-19   1.123981E-16   6.822408E-21   6.822408E-21   1.516208E-14   9.003286E-11   2.556113E-11
   6.950000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.391519E-22   1.260973E-19   1.142675E-16   7.000665E-21   7.000665E-21   1.541426E-14   8.984405E-11   2.574578E-11
   7.050000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.388272E-22   1.271026E-19   1.163682E-16   7.203013E-21   7.203013E-21   1.569764E-14   8.963442E-11   2.595103E-11
   7.150000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.384681E-22   1.282156E-19   1.187221E-16   7.432284E-21   7.432284E-21   1.601517E-14   8.940258E-11   2.617826E-11
   7.250000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.380718E-22   1.294422E-19   1.213520E-16   7.691622E-21   7.691622E-21   1.636994E-14   8.914668E-11   2.642872E-11
   7.350000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.376369E-22   1.307903E-19   1.242843E-16   7.984668E-21   7.984668E-21   1.676549E-14   8.886587E-11   2.670396E-11
   7.450000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.371613E-22   1.322667E-19   1.275467E-16   8.315496E-21   8.315496E-21   1.720558E-14   8.855878E-11   2.700539E-11
   7.550000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.366428E-22   1.338783E-19   1.311697E-16   8.688740E-21   8.688740E-21   1.769430E-14   8.822402E-11   2.733444E-11
   7.650000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.360783E-22   1.356311E-19   1.351854E-16   9.109614E-21   9.109614E-21   1.823601E-14   8.785959E-11   2.769233E-11
   7.750000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.354670E-22   1.375334E-19   1.396313E-16   9.584230E-21   9.584230E-21   1.883574E-14   8.746487E-11   2.808072E-11
   7.850000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.348065E-22   1.395919E-19   1.445472E-16   1.011950E-20   1.011950E-20   1.949888E-14   8.703842E-11   2.850102E-11
   7.950000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.340948E-22   1.418138E-19   1.499772E-16   1.072338E-20   1.072338E-20   2.023137E-14   8.657891E-11   2.895467E-11
