# Time          1.5000E+00
# Units: Log10 mol/kgw
    Distance      pH             H+             HPO4--         Al+++          SiO2(aq)       UO2++          Bogusite(aq)   (UO2)2(OH)2++  (UO2)2OH+++    (UO2)3(OH)4++  (UO2)3(OH)5+   (UO2)3(OH)7-   (UO2)4(OH)7+   Al(OH)2+       AlHPO4+        AlO2-          AlOH++         H2PO4-         H3PO4(aq)      HAlO2(aq)      OH-            PO4---         UO2(H2PO4)(H3  UO2(H2PO4)2(a  UO2(OH)2(aq)   UO2(OH)3-      UO2(OH)4--     UO2H2PO4+      UO2H3PO4++     UO2HPO4(aq)    UO2OH+         UO2PO4-      
   2.050000E+01   2.925127E+00  -2.911977E+00  -8.629310E+00  -4.539229E+00  -3.594928E+00  -5.117743E+00  -2.000000E+00  -1.007494E+01  -1.000436E+01  -1.569131E+01  -1.646718E+01  -2.607879E+01  -2.215132E+01  -9.387849E+00  -5.928450E+00  -1.582230E+01  -6.634340E+00  -4.394485E+00  -5.169128E+00  -1.231331E+01  -1.105218E+01  -1.795384E+01  -8.549175E+00  -6.647862E+00  -9.636961E+00  -1.560522E+01  -2.644609E+01  -5.096375E+00  -8.340444E+00  -5.417161E+00  -7.442479E+00  -8.838221E+00
   2.150000E+01   2.925196E+00  -2.912044E+00  -8.629252E+00  -4.538281E+00  -3.594819E+00  -5.117817E+00  -2.000000E+00  -1.007495E+01  -1.000444E+01  -1.569127E+01  -1.646707E+01  -2.607854E+01  -2.215116E+01  -9.386774E+00  -5.927461E+00  -1.582109E+01  -6.633329E+00  -4.394500E+00  -5.169214E+00  -1.231217E+01  -1.105211E+01  -1.795371E+01  -8.549357E+00  -6.647977E+00  -9.636904E+00  -1.560509E+01  -2.644589E+01  -5.096471E+00  -8.340604E+00  -5.417190E+00  -7.442490E+00  -8.838179E+00
   2.250000E+01   2.925265E+00  -2.912112E+00  -8.629193E+00  -4.537335E+00  -3.594710E+00  -5.117892E+00  -2.000000E+00  -1.007497E+01  -1.000452E+01  -1.569123E+01  -1.646697E+01  -2.607830E+01  -2.215100E+01  -9.385701E+00  -5.926474E+00  -1.581988E+01  -6.632321E+00  -4.394515E+00  -5.169299E+00  -1.231103E+01  -1.105204E+01  -1.795357E+01  -8.549538E+00  -6.648090E+00  -9.636847E+00  -1.560497E+01  -2.644569E+01  -5.096567E+00  -8.340764E+00  -5.417219E+00  -7.442500E+00  -8.838137E+00
   2.350000E+01   2.925334E+00  -2.912179E+00  -8.629132E+00  -4.536391E+00  -3.594601E+00  -5.117968E+00  -2.000000E+00  -1.007499E+01  -1.000460E+01  -1.569119E+01  -1.646687E+01  -2.607806E+01  -2.215084E+01  -9.384630E+00  -5.925487E+00  -1.581867E+01  -6.631314E+00  -4.394528E+00  -5.169383E+00  -1.230989E+01  -1.105197E+01  -1.795344E+01  -8.549717E+00  -6.648202E+00  -9.636791E+00  -1.560484E+01  -2.644549E+01  -5.096662E+00  -8.340924E+00  -5.417246E+00  -7.442512E+00  -8.838094E+00
   2.450000E+01   2.925403E+00  -2.912247E+00  -8.629067E+00  -4.535449E+00  -3.594492E+00  -5.118048E+00  -2.000000E+00  -1.007502E+01  -1.000469E+01  -1.569117E+01  -1.646678E+01  -2.607783E+01  -2.215070E+01  -9.383561E+00  -5.924497E+00  -1.581746E+01  -6.630310E+00  -4.394536E+00  -5.169462E+00  -1.230875E+01  -1.105190E+01  -1.795329E+01  -8.549891E+00  -6.648308E+00  -9.636738E+00  -1.560472E+01  -2.644529E+01  -5.096756E+00  -8.341083E+00  -5.417273E+00  -7.442527E+00  -8.838050E+00
   2.550000E+01   2.925473E+00  -2.912316E+00  -8.628990E+00  -4.534510E+00  -3.594383E+00  -5.118135E+00  -2.000000E+00  -1.007506E+01  -1.000479E+01  -1.569116E+01  -1.646671E+01  -2.607763E+01  -2.215058E+01  -9.382494E+00  -5.923498E+00  -1.581626E+01  -6.629307E+00  -4.394534E+00  -5.169531E+00  -1.230762E+01  -1.105183E+01  -1.795314E+01  -8.550051E+00  -6.648399E+00  -9.636692E+00  -1.560460E+01  -2.644510E+01  -5.096847E+00  -8.341239E+00  -5.417296E+00  -7.442549E+00  -8.838002E+00
   2.650000E+01   2.925542E+00  -2.912384E+00  -8.628889E+00  -4.533573E+00  -3.594274E+00  -5.118321E+00  -2.000000E+00  -1.007530E+01  -1.000510E+01  -1.569145E+01  -1.646693E+01  -2.607771E+01  -2.215086E+01  -9.381429E+00  -5.922477E+00  -1.581505E+01  -6.628308E+00  -4.394506E+00  -5.169574E+00  -1.230648E+01  -1.105176E+01  -1.795296E+01  -8.550257E+00  -6.648538E+00  -9.636745E+00  -1.560458E+01  -2.644501E+01  -5.097011E+00  -8.341467E+00  -5.417392E+00  -7.442670E+00  -8.838027E+00
   2.750000E+01   2.925610E+00  -2.912450E+00  -8.628733E+00  -4.532641E+00  -3.594166E+00  -5.118790E+00  -2.000000E+00  -1.007611E+01  -1.000596E+01  -1.569260E+01  -1.646802E+01  -2.607866E+01  -2.215229E+01  -9.380371E+00  -5.921403E+00  -1.581386E+01  -6.627314E+00  -4.394422E+00  -5.169558E+00  -1.230536E+01  -1.105169E+01  -1.795273E+01  -8.550631E+00  -6.648845E+00  -9.637084E+00  -1.560485E+01  -2.644521E+01  -5.097400E+00  -8.341921E+00  -5.417715E+00  -7.443075E+00  -8.838281E+00
   2.850000E+01   2.925673E+00  -2.912512E+00  -8.628463E+00  -4.531716E+00  -3.594057E+00  -5.119861E+00  -2.000000E+00  -1.007812E+01  -1.000804E+01  -1.569557E+01  -1.647092E+01  -2.608144E+01  -2.215614E+01  -9.379324E+00  -5.920216E+00  -1.581269E+01  -6.626328E+00  -4.394217E+00  -5.169418E+00  -1.230425E+01  -1.105162E+01  -1.795240E+01  -8.551360E+00  -6.649512E+00  -9.638032E+00  -1.560573E+01  -2.644603E+01  -5.098270E+00  -8.342851E+00  -5.418522E+00  -7.444085E+00  -8.839024E+00
   2.950000E+01   2.925728E+00  -2.912568E+00  -8.627962E+00  -4.530802E+00  -3.593948E+00  -5.122151E+00  -2.000000E+00  -1.008259E+01  -1.001257E+01  -1.570221E+01  -1.647751E+01  -2.608792E+01  -2.216491E+01  -9.378298E+00  -5.918798E+00  -1.581155E+01  -6.625358E+00  -4.393770E+00  -5.169026E+00  -1.230317E+01  -1.105157E+01  -1.795184E+01  -8.552811E+00  -6.650908E+00  -9.640210E+00  -1.560786E+01  -2.644809E+01  -5.100113E+00  -8.344750E+00  -5.420309E+00  -7.446319E+00  -8.840756E+00
