# Time          1.5000E+00
# Units: Mol/m^3 porous medium
    Distance     >SiOH          >FeOH          >AlOH          >SiOUO3H3++    >SiOUO3H2+     >SiOUO3H       >SiOUO3-       >SiOUO2(OH)2-  >FeOHUO3       >FeOHUO2++     >AlOUO2+      
   5.750000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413513E-22   1.192633E-19   1.006268E-16   5.740111E-21   5.740111E-21   1.357418E-14   9.126410E-11   2.435044E-11
   5.850000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413464E-22   1.192795E-19   1.006577E-16   5.742857E-21   5.742857E-21   1.357835E-14   9.126094E-11   2.435376E-11
   5.950000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413415E-22   1.192960E-19   1.006890E-16   5.745631E-21   5.745631E-21   1.358257E-14   9.125779E-11   2.435712E-11
   6.050000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413360E-22   1.193122E-19   1.007202E-16   5.748417E-21   5.748417E-21   1.358678E-14   9.125424E-11   2.436042E-11
   6.150000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413299E-22   1.193282E-19   1.007516E-16   5.751227E-21   5.751227E-21   1.359101E-14   9.125030E-11   2.436369E-11
   6.250000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413236E-22   1.193444E-19   1.007834E-16   5.754087E-21   5.754087E-21   1.359531E-14   9.124620E-11   2.436700E-11
   6.350000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413169E-22   1.193608E-19   1.008160E-16   5.757012E-21   5.757012E-21   1.359971E-14   9.124190E-11   2.437036E-11
   6.450000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413098E-22   1.193776E-19   1.008494E-16   5.760015E-21   5.760015E-21   1.360421E-14   9.123729E-11   2.437378E-11
   6.550000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413018E-22   1.193944E-19   1.008835E-16   5.763103E-21   5.763103E-21   1.360881E-14   9.123214E-11   2.437721E-11
   6.650000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.412930E-22   1.194116E-19   1.009188E-16   5.766305E-21   5.766305E-21   1.361357E-14   9.122646E-11   2.438072E-11
   6.750000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.412834E-22   1.194293E-19   1.009556E-16   5.769654E-21   5.769654E-21   1.361853E-14   9.122028E-11   2.438433E-11
   6.850000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.412730E-22   1.194477E-19   1.009943E-16   5.773184E-21   5.773184E-21   1.362375E-14   9.121352E-11   2.438810E-11
   6.950000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.412615E-22   1.194671E-19   1.010353E-16   5.776935E-21   5.776935E-21   1.362928E-14   9.120612E-11   2.439206E-11
   7.050000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.412491E-22   1.194879E-19   1.010792E-16   5.780960E-21   5.780960E-21   1.363521E-14   9.119812E-11   2.439630E-11
   7.150000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.412357E-22   1.195103E-19   1.011268E-16   5.785316E-21   5.785316E-21   1.364163E-14   9.118949E-11   2.440089E-11
   7.250000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.412210E-22   1.195346E-19   1.011785E-16   5.790054E-21   5.790054E-21   1.364861E-14   9.117999E-11   2.440585E-11
   7.350000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.412050E-22   1.195613E-19   1.012352E-16   5.795250E-21   5.795250E-21   1.365625E-14   9.116962E-11   2.441130E-11
   7.450000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.411876E-22   1.195910E-19   1.012979E-16   5.800992E-21   5.800992E-21   1.366471E-14   9.115841E-11   2.441736E-11
   7.550000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.411689E-22   1.196243E-19   1.013677E-16   5.807374E-21   5.807374E-21   1.367413E-14   9.114635E-11   2.442415E-11
   7.650000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.411484E-22   1.196615E-19   1.014455E-16   5.814481E-21   5.814481E-21   1.368462E-14   9.113308E-11   2.443174E-11
   7.750000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.411260E-22   1.197033E-19   1.015326E-16   5.822434E-21   5.822434E-21   1.369637E-14   9.111863E-11   2.444029E-11
   7.850000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.411018E-22   1.197508E-19   1.016306E-16   5.831367E-21   5.831367E-21   1.370959E-14   9.110303E-11   2.444999E-11
   7.950000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.410759E-22   1.198049E-19   1.017411E-16   5.841420E-21   5.841420E-21   1.372450E-14   9.108625E-11   2.446103E-11
   8.050000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.410475E-22   1.198661E-19   1.018656E-16   5.852732E-21   5.852732E-21   1.374129E-14   9.106796E-11   2.447353E-11
   8.150000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.410168E-22   1.199356E-19   1.020060E-16   5.865472E-21   5.865472E-21   1.376023E-14   9.104813E-11   2.448772E-11
   8.250000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.409837E-22   1.200146E-19   1.021644E-16   5.879828E-21   5.879828E-21   1.378159E-14   9.102675E-11   2.450385E-11
   8.350000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.409479E-22   1.201041E-19   1.023428E-16   5.895989E-21   5.895989E-21   1.380567E-14   9.100364E-11   2.452213E-11
   8.450000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.409085E-22   1.202048E-19   1.025432E-16   5.914135E-21   5.914135E-21   1.383269E-14   9.097822E-11   2.454268E-11
   8.550000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.408654E-22   1.203180E-19   1.027678E-16   5.934493E-21   5.934493E-21   1.386300E-14   9.095036E-11   2.456580E-11
   8.650000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.408186E-22   1.204455E-19   1.030198E-16   5.957321E-21   5.957321E-21   1.389699E-14   9.092017E-11   2.459181E-11
   8.750000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.407681E-22   1.205886E-19   1.033019E-16   5.982878E-21   5.982878E-21   1.393504E-14   9.088754E-11   2.462104E-11
   8.850000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.407131E-22   1.207486E-19   1.036167E-16   6.011425E-21   6.011425E-21   1.397751E-14   9.085206E-11   2.465372E-11
